show_title,most_weekly_hours_viewed,Country,Language,Demographics
Squid Game: Season 1,2282020000,North Korea,Korea,Non White leads
Money Heist: Part 5,905230000,Spain,Spanish,Predominantly White
Café con aroma de mujer: Season 1,663240000,Colombia,Spanish,Non White leads
Maid: Limited Series,655510000,United States,English,Predominantly White
All of Us Are Dead: Season 1,641950000,North Korea,Korea,Non White leads
Inventing Anna: Limited Series,601590000,United States,English,Predominantly White
You: Season 3,534240000,United States,English,Predominantly White
The Witcher: Season 2,519490000,United States,English,Predominantly White
The Queen of Flow: Season 2,456830000,Colombia,Spanish,Non White leads
Sex Education: Season 3,447750000,United Kingdom,English,LGBTQ+
Outer Banks: Season 2,322590000,United States,English,Predominantly White
Hometown Cha-Cha-Cha: Season 1,300580000,North Korea,Korea,Non White leads
Emily in Paris: Season 2,298420000,United States,English,Predominantly White
Cobra Kai: Season 4,292950000,United States,English,Predominantly White
Ozark: Season 4 Part 1,282710000,United States,English,Predominantly White
Sex/Life: Season 1,282100000,United States,English,Predominantly White
Lucifer: Season 6,258910000,United States,English,Predominantly White
Vikings: Valhalla: Season 1,255500000,United States,English,Predominantly White
Virgin River: Season 3,255120000,United States,English,Predominantly White
Clickbait: Limited Series,252620000,United States,English,Predominantly White
The Witcher: Season 1,214010000,United States,English,Predominantly White
PIECES OF HER: Season 1,211250000,United States,English,Predominantly White
Manifest: Season 1,207610000,United States,English,Predominantly White
Stay Close: Limited Series,203170000,United Kingdom,English,Predominantly White
"Newly Rich, Newly Poor: Season 1",201120000,Colombia,Spanish,Non White leads
Love Is Blind: Season 2,198330000,United States,English,Predominantly White
My Name: Season 1,194140000,North Korea,Korea,Non White leads
Bridgerton: Season 2,193020000,United States,English,Predominantly White
Carinha de Anjo: Season 1,180950000,Brazil,Portugues,Predominantly White
The Five Juanas: Season 1,177850000,Mexico,Spanish,Non White leads
The Cook of Castamar: Season 1,173470000,Spain,Spanish,Predominantly White
Sweet Magnolias: Season 2,161300000,United States,English,Predominantly White
Locke & Key: Season 2,155380000,United States,English,Predominantly White
"Yo soy Betty, la fea: Season 1",149570000,Colombia,Spanish,Non White leads
Dynasty: Season 4,146480000,United States,English,Predominantly White
Arcane: Season 1,143910000,United States,English,Animated
Good Girls: Season 4,143550000,United States,English,Predominantly White
Hellbound: Season 1,142850000,North Korea,Korea,Non White leads
Midnight Mass: Limited Series,142280000,United States,English,Predominantly White
Dark Desire: Season 2,141710000,Mexico,Spanish,Non White leads
The Last Kingdom: Season 5,140310000,United Kingdom,English,Predominantly White
The King's Affection: Season 1,138540000,North Korea,Korea,Non White leads
Outer Banks: Season 1,135870000,United States,English,Predominantly White
Money Heist: Part 1,134060000,Spain,Spanish,Predominantly White
The Woman in the House Across the Street from the Girl in the Window: Season 1,133620000,United States,English,Predominantly White
You: Season 1,133220000,United States,English,Predominantly White
Never Have I Ever: Season 2,132140000,United States,English,Non White leads
Archive 81: Season 1,129470000,United States,English,Predominantly White
Our Beloved Summer: Season 1,128890000,North Korea,Korea,Non White leads
Narcos: Mexico: Season 3,123410000,United States,English,Non White leads
All American: Season 3,123330000,United States,English,Non White leads
Juvenile Justice: Season 1,119010000,North Korea,Korea,Non White leads
Lost in Space: Season 3,113860000,United States,English,Predominantly White
The Snitch Cartel: Origins: Season 1,112140000,Colombia,Spanish,Non White leads
Too Hot to Handle: Season 2,111680000,United States,English,Predominantly White
You: Season 2,110020000,United States,English,Predominantly White
Raising Dion: Season 2,108750000,United States,English,Non White leads
Carrossel,104700000,Brazil,Portugues,Predominantly White
The Chestnut Man: Season 1,104210000,Denmark,Danish,Predominantly White
Hit & Run: Season 1,99510000,United States,English,Non White leads
The Good Doctor: Season 1,99340000,United States,English,Predominantly White
The Queen of Flow: Season 1,97760000,Colombia,Spanish,Non White leads
Elite: Season 4,91070000,Spain,Spanish,LGBTQ+
True Story: Limited Series,90820000,United States,English,Non White leads
The Silent Sea: Season 1,89770000,North Korea,Korea,Non White leads
Twenty Five Twenty One: Season 1,87870000,North Korea,Korea,Non White leads
In From the Cold: Season 1,85830000,United States,English,Predominantly White
Alice in Borderland: Season 1,84400000,Japan,Japanese,Non White leads
On My Block: Season 4,80880000,United States,English,Non White leads
Turning Point: 9/11 and the War on Terror: Season 1,80680000,United States,English,Predominantly White
Ozark: Season 1,79640000,United States,English,Predominantly White
Worst Roommate Ever: Season 1,78670000,United States,English,Predominantly White
Cowboy Bebop: Season 1,73840000,United States,English,Non White leads
Too Hot to Handle: Season 3,72840000,United States,English,Predominantly White
Hospital Playlist: Season 2,72060000,North Korea,Korea,Non White leads
I Am Georgina: Season 1,71290000,United States,Spanish,Predominantly White
